APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Longitude,Latitude,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
2004019019,10/28/2019,Single Family,8560 N RUDNICK AVE,LOS ANGELES,CA,93063,12,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Remedy Field Services Inc,Agnes Mella,15615   Alton PKWY  IRVINE CA 92618,888-540-4490,-118.61291,34.22684,POINT (-118.61291 34.22684),4279,92,1423,,2,44
2134029009,06/07/2019,Single Family,6452 N JUMILLA AVE,LOS ANGELES,CA,91367,3,Residential First Capital,Stephen Solorio,949-783-7920,NULL,NULL,,NULL,-118.56314,34.18823,POINT (-118.56314 34.18823),19347,292,318,,4,49
2231018011,08/15/2019,Single Family,16724 W ARCHWOOD ST,LOS ANGELES,CA,91406,6,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.49753,34.19287,POINT (-118.49753000000001 34.19287),19734,262,297,,3,61
2378026016,04/10/2019,Vacant Residential,11258 W LAURIE DR,LOS ANGELES,CA,91604,2,Cal Pac Capital,Justin Johnson,949-383-4763,NULL,NULL,,NULL,-118.37539,34.13644,POINT (-118.37539000000001 34.13644),8492,351,712,11,5,84
2690004017,11/06/2019,Single Family,8963 N OAK PARK AVE,LOS ANGELES,CA,91325,12,Anchor Loans,Dannielle Gates,818-836-1485,NULL,NULL,,NULL,-118.50557,34.23395,POINT (-118.50556999999999 34.23395),18514,104,1424,,2,65
5036004005,12/02/2019,Multi-Family,1422 W 38TH ST,LOS ANGELES,CA,90062,8,Martin Salvin,Stephen Fenster,818-346-7300,NULL,NULL,,NULL,-118.30379,34.01723,POINT (-118.30379000000002 34.01723),24027,730,1012,7,14,32
5109025017,01/02/2019,Single Family,5220 S SAN PEDRO ST,LOS ANGELES,CA,90011,9,M&T Bank,Eric Moore,877-338-3791,MSI,Property Preservation,500   Grapeview HWY  Hurst TX 76054,800-346-2432,-118.26998,33.9946,POINT (-118.26997999999999 33.9946),22727,725,895,7,13,
4426001002,05/10/2019,Single Family,1601 N MANDEVILLE CANYON ROAD,LOS ANGELES,CA,90049,11,Platinum Loan Servicing,Karen Larson,818-222-5222,NULL,NULL,,NULL,-118.49413,34.0609,POINT (-118.49413 34.0609),23680,833,776,,10,
4115010013,12/19/2019,Single Family,8224 W REES ST,LOS ANGELES,CA,90293,11,First Bridge Lending,Brandon Dierickx,303-578-6160,SBS Trust Deed Network,Brandon Dierickx,31194   La Baya DR 106 Westlake Village CA 91362,303-578-6160,-118.44148,33.96,POINT (-118.44148000000001 33.96),25075,929,1141,10,10,16
4251008028,11/05/2019,Single Family,3030 S GREENFIELD AVE,LOS ANGELES,CA,90034,5,Witkin & Eisinger LLC,Richard Witkin,818-845-4000,NULL,NULL,,NULL,-118.42362,34.02808,POINT (-118.42362 34.02808),23451,894,1247,9,6,27
