APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,lon,lat,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
4370022014,01/14/2020,Single Family,901 N STRADA VECCHIA ROAD,LOS ANGELES,CA,90077,5,First Credit Bank,Saman Samii,310-273-2500,NULL,NULL,,NULL,-118.44416,34.08981,POINT (-118.44416 34.08981),24037,828,770,,6,81
5185038010,01/16/2020,Multi-Family,809 S EUCLID AVE,LOS ANGELES,CA,90023,14,Good Deeds Inc,Richard Harmon,714-906-4011,NULL,NULL,,NULL,-118.2071,34.03127,POINT (-118.2071 34.03127),23441,524,351,,9,38
4370003014,02/28/2020,Single Family,777 N SARBONNE ROAD,LOS ANGELES,CA,90077,5,"Agata Limited, Inc.",Nazissa Parsakar,213-622-0265,NULL,NULL,,NULL,-118.45039,34.0845,POINT (-118.45039 34.0845),24037,828,792,,6,81
5527008007,01/18/2020,Single Family,724 N GENESEE AVE,LOS ANGELES,CA,90046,5,Specialized Loan Servicing LLC,n/a n/a,800-842-7654,NULL,NULL,,NULL,-118.35829,34.0846,POINT (-118.35829 34.0846),23677,447,804,,6,26
5493034010,02/11/2020,Single Family,712 N CHESTNUT AVE,LOS ANGELES,CA,90042,14,Anchor Loans,Dannielle Gates,818-836-1485,NULL,NULL,,NULL,-118.17173,34.11714,POINT (-118.17173 34.11714),23673,360,576,,9,93
6013003020,01/07/2020,Single Family,7018 1/4 S VERMONT AVE,LOS ANGELES,CA,90044,8,"Danco, Inc.",Ronald Perlstein,310-842-8235,NULL,NULL,,NULL,-118.29132,33.97584,POINT (-118.29132 33.97584),23675,773,979,7,14,
5029027028,01/31/2020,Single Family,5383 W STILLWATER DR,LOS ANGELES,CA,90008,10,Citizens Business Bank,Tonya Anchondo,909-483-7293,NULL,NULL,,NULL,-118.36371,34.01624,POINT (-118.36371 34.01624),22725,760,1113,,12,54
2163022043,01/07/2020,Single Family,5353 N DONNA AVE,LOS ANGELES,CA,91356,3,"Danco, Inc.",Ronald Perlstein,310-842-8235,NULL,NULL,,NULL,-118.54861,34.16858,POINT (-118.54861 34.16858),19339,321,1496,,4,10
5501002019,01/31/2020,Single Family,339 N VIRGIL AVE,LOS ANGELES,CA,90004,13,Bank of Hope,Sang Ho Lee,213-233-1861,KORUS Real Estate,Mark Hong,3785   Wilshire BLVD 223 Los Angeles CA 90010,213-251-9000,-118.28706,34.07735,POINT (-118.28706 34.07735),22721,455,507,16,8,80
5446008029,01/30/2020,Single Family,2930 N JEFFRIES AVE,LOS ANGELES,CA,90065,1,MAPLE LEAF CAPITAL CO.,PETER WISSNER,310-472-3763,NULL,NULL,,NULL,-118.221,34.08739,POINT (-118.221 34.08739),24030,381,1365,,11,94
5567001026,01/07/2020,Single Family,2111 N UPPER KRESS ST,LOS ANGELES,CA,90046,4,CLE Capital Partners,Chris Powell,805-568-1660,NULL,NULL,,NULL,-118.37807,34.10908,POINT (-118.37807 34.10908),23677,458,731,,7,81
2184022012,02/11/2020,Single Family,17970 W RANCHO ST,LOS ANGELES,CA,91316,5,Anchor Loans,Dannielle Gates,818-836-1485,NULL,NULL,,NULL,-118.52438,34.15625,POINT (-118.52438 34.15625),4286,328,662,,6,62
4422006007,01/08/2020,Single Family,1325 N CHAUTAUQUA BLVD,LOS ANGELES,CA,90272,11,Arixa Fund III L.P,Alexander Foster,310-905-3050,NULL,NULL,,NULL,-118.52005,34.05319,POINT (-118.52005 34.05319),25066,834,785,,10,
6003025017,01/07/2020,Single Family,1213 W 62ND ST,LOS ANGELES,CA,90044,9,"Danco, Inc.",Ronald Perlstein,310-842-8235,NULL,NULL,,NULL,-118.29631,33.98336,POINT (-118.29631 33.98336),23675,768,1157,7,13,2
6053025011,01/17/2020,Single Family,10116 S BROADWAY,LOS ANGELES,CA,90003,8,Celink,Daniel Stack,866-727-4303,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,-118.27795,33.94409,POINT (-118.27795 33.94409),22352,804,1191,7,14,45
2301019008,01/21/2020,Single Family,13340 W WILLARD ST,LOS ANGELES,CA,91605,6,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,-118.42417,34.21822,POINT (-118.42417 34.21822),19730,138,461,,3,59
